id_bask,query_date,request,id_book
4815,01-04-2015 0:04:18,addbasket.phtml ,71
4873,01-04-2015 0:13:08,addbasket.phtml ,11
4875,01-04-2015 0:18:08,addbasket.phtml ,34
4880,01-04-2015 0:22:26,addbasket.phtml ,14
4857,01-04-2015 0:23:06,addbasket.phtml ,41
4842,01-04-2015 0:23:29,addbasket.phtml ,10
4878,01-04-2015 0:24:56,addbasket.phtml ,27
4887,01-04-2015 0:25:25,addbasket.phtml ,33
4883,01-04-2015 0:25:51,addbasket.phtml id_book=8,8
4898,01-04-2015 0:33:19,addbasket.phtml ,14
4895,01-04-2015 0:34:12,addbasket.phtml ,34
4899,01-04-2015 0:34:51,addbasket.phtml ,25
4904,01-04-2015 0:38:45,addbasket.phtml ,52
4912,01-04-2015 0:45:01,addbasket.phtml ,99
4912,01-04-2015 0:47:45,addbasket.phtml ,61
4907,01-04-2015 0:49:24,addbasket.phtml ,91
4911,01-04-2015 0:49:35,addbasket.phtml ,15
4905,01-04-2015 0:50:00,addbasket.phtml ,57
4921,01-04-2015 0:51:35,addbasket.phtml ,33
4907,01-04-2015 0:51:59,addbasket.phtml ,35
4923,01-04-2015 0:54:45,addbasket.phtml ,27
4925,01-04-2015 0:54:59,addbasket.phtml ,11
4927,01-04-2015 0:56:10,addbasket.phtml id_book=2,2
4930,01-04-2015 0:59:18,addbasket.phtml ,33
4933,01-04-2015 1:02:48,addbasket.phtml ,11
4938,01-04-2015 1:06:41,addbasket.phtml id_book=2,2
4945,01-04-2015 1:11:56,addbasket.phtml ,18
4945,01-04-2015 1:14:53,addbasket.phtml id_book=2,2
4172,01-04-2015 1:15:18,addbasket.phtml ,27
4825,01-04-2015 1:17:53,addbasket.phtml ,60
4957,01-04-2015 1:27:39,addbasket.phtml ,31
4960,01-04-2015 1:30:58,addbasket.phtml ,14
4965,01-04-2015 1:31:25,addbasket.phtml id_book=2,2
4959,01-04-2015 1:33:13,addbasket.phtml ,11
4970,01-04-2015 1:36:05,addbasket.phtml ,23
4959,01-04-2015 1:38:33,addbasket.phtml ,76
4975,01-04-2015 1:42:25,addbasket.phtml ,14
4980,01-04-2015 1:46:40,addbasket.phtml ,53
4981,01-04-2015 1:47:18,addbasket.phtml id_book=2,2
4733,01-04-2015 1:48:59,addbasket.phtml id_book=3,3
4991,01-04-2015 1:57:24,addbasket.phtml ,53
4992,01-04-2015 2:01:21,addbasket.phtml ,90
4998,01-04-2015 2:06:07,addbasket.phtml ,51
5003,01-04-2015 2:10:23,addbasket.phtml id_book=2,2
5003,01-04-2015 2:10:34,addbasket.phtml ,26
4071,01-04-2015 2:11:06,addbasket.phtml ,32
5006,01-04-2015 2:15:51,addbasket.phtml ,27
5011,01-04-2015 2:19:07,addbasket.phtml ,11
5012,01-04-2015 2:19:39,addbasket.phtml ,42
5017,01-04-2015 2:26:52,addbasket.phtml ,20
5019,01-04-2015 2:30:26,addbasket.phtml ,54
5021,01-04-2015 2:32:52,addbasket.phtml id_book=2,2
5020,01-04-2015 2:33:11,addbasket.phtml ,84
5024,01-04-2015 2:39:10,addbasket.phtml ,14
4596,01-04-2015 2:39:50,addbasket.phtml ,59
5025,01-04-2015 2:40:52,addbasket.phtml ,95
5023,01-04-2015 2:42:41,addbasket.phtml ,18
5026,01-04-2015 2:45:48,addbasket.phtml ,79
5042,01-04-2015 2:51:58,addbasket.phtml ,47
5042,01-04-2015 2:53:25,addbasket.phtml id_book=9,9
5041,01-04-2015 2:54:25,addbasket.phtml ,51
5048,01-04-2015 2:56:07,addbasket.phtml ,81
5049,01-04-2015 2:57:03,addbasket.phtml id_book=2,2
5049,01-04-2015 2:57:42,addbasket.phtml ,28
5054,01-04-2015 3:01:13,addbasket.phtml ,33
3691,01-04-2015 3:08:30,addbasket.phtml ,23
3691,01-04-2015 3:08:51,addbasket.phtml id_book=2,2
5058,01-04-2015 3:11:39,addbasket.phtml ,90
5062,01-04-2015 3:13:28,addbasket.phtml ,59
5074,01-04-2015 3:22:59,addbasket.phtml ,33
5074,01-04-2015 3:23:20,addbasket.phtml ,58
5092,01-04-2015 3:38:52,addbasket.phtml ,55
5093,01-04-2015 3:39:29,addbasket.phtml ,76
5092,01-04-2015 3:41:38,addbasket.phtml ,11
5101,01-04-2015 3:55:46,addbasket.phtml ,32
5104,01-04-2015 3:58:33,addbasket.phtml ,11
